id;cognome;nome;ruoli
8341;Adler-Olsen;Jussi;";AUTORE"
8345;Farinetti;Gianni;AUTORE
8346;Marklund;Liza;AUTORE
8347;Qiu;Xiaolong;";AUTORE"
8352;Butler;Nickolas;AUTORE
8356;Zolla;Elémire;"AUTORE;CURATORE"
8360;Marchianò;Grazia;"CURATORE;INTRODUZIONE"
8361;De Simone;Annalisa;AUTORE
8362;Parolini;Maura;"AUTORE;TRADUTTORE"
8363;Curtoni;Matteo;TRADUTTORE
8364;Miller;Madeline;AUTORE
8365;Bienati;Luisa;"AUTORE;CURATORE;TRADUTTORE"
8376;Ravatn;Agnes;AUTORE
8377;Ferrari;Alessia;TRADUTTORE
8378;Sten;Viveca;AUTORE
8379;Cosimini;Silvia;TRADUTTORE
8380;Jónasson;Ragnar;AUTORE
8383;Rossari;Marco;"PREFATORE;TRADUTTORE"
8389;Isotta;Paolo;"AUTORE;PREFAZIONE"
8397;Sessi;Frediano;"AUTORE;CURATORE;INTRODUZIONE;PREFAZIONE;TRADUTTORE"
8400;Fini;Massimo;"AUTORE;PREFAZIONE"
8403;Merlo;Francesco;AUTORE
8405;Guay-Poliquin;Christian;AUTORE
8407;Veneziani;Marcello;AUTORE
8408;Mingardi;Alberto;AUTORE
8412;Baccomo Duchesne;Federico;";AUTORE"
8418;Valvo;Eva;TRADUTTORE
8428;Valensise;Marina;AUTORE
8429;Zavagna;Giulia;TRADUTTORE
8430;Flores;Paulina;AUTORE
8443;Lorenzetto;Stefano;AUTORE
8451;de Beaumont;Gaia;"AUTORE;TRADUTTORE"
8453;Lamberti;Ginevra;"AUTORE;TRADUTTORE"
8456;van den Brink;H.M.;AUTORE
8460;Cocco & Magella;;AUTORE
8464;Franchini;Antonio;"AUTORE;PREFAZIONE"
8471;Folin;Alberto;"AUTORE;CON_TESTI_DI;CURATORE;TRADUTTORE"
8472;Cascio;Gandolfo;"AUTORE;CURATORE;INTRODUZIONE;PREFATORE"
8474;Armocida;Pedro;CURATORE
8481;Cacopardo;Domenico;AUTORE
8483;Lupo;Giuseppe;AUTORE
8484;Pressburger;Nicola;AUTORE
8488;Ghinelli;Lorenza;AUTORE
8489;Letizia;Claudia Valeria;TRADUTTORE
8498;Ieranò;Giorgio;AUTORE
8500;Necci;Alessandra;AUTORE
8506;Fatland;Erika;AUTORE
8530;Facci;Filippo;AUTORE
8531;Stein;Jesper;AUTORE
8533;Breda;Marzio;AUTORE
8535;Baratta;Paolo;AUTORE
8538;Masini;Beatrice;"AUTORE;INTRODUZIONE"
8541;Avoledo;Tullio;AUTORE
8545;Truc;Olivier;AUTORE
8550;Zagarrio;Vito;";AUTORE;CURATORE"
8552;Raimondi;Valeria;TRADUTTORE
8556;Uva;Christian;"AUTORE;CURATORE"
8557;Favaro;Roberto;AUTORE
8567;Graham;Winston;AUTORE
8568;Genisi;Gabriella;AUTORE
8570;Franchi;Paolo;AUTORE
8578;Feltri;Mattia;"AUTORE;CURATORE"
8589;Berg;Mattias;AUTORE
8602;Magrì;Marinella;TRADUTTORE
8621;Sorgi;Marcello;AUTORE
8622;Pendinelli;Mario;AUTORE
8626;Verasani;Grazia;AUTORE
8631;Piovan;Giuliano;AUTORE
8632;Giliberto;Franco;AUTORE
8633;Teruzzi;Rosa;AUTORE
8634;Fontana;Giovanni Luigi;CURATORE
8636;Lunde;Maja;AUTORE
8637;Stein;Gertrude;AUTORE
8642;Peluffo;Gianluca;AUTORE
8659;Ritsos;Yannis;AUTORE
8673;Lindqvist;John Ajvide;AUTORE
8674;Fiorentino;Francesco;"AUTORE;CURATORE;INTRODUZIONE"
8734;Marini;Daniele;"AUTORE;CURATORE"
8758;Brunetta;Gian Piero;"AUTORE;CURATORE"
8775;Sarasso;Simone;AUTORE
8812;Montanelli;Indro;"AUTORE;PREFATORE;PREFAZIONE"
8892;Gradowski;Salmen;AUTORE
8932;Persson;Leif GW;AUTORE
9014;Farina;Renato;AUTORE
9042;Sem-Sandberg;Steve;AUTORE
9055;Alvi;Geminello;"AUTORE;PREFATORE;PREFAZIONE"
9193;Matthieussent;Brice;AUTORE
9242;Ficara;Giorgio;AUTORE
9285;Serra;Maurizio;AUTORE
9303;Dahl;Kjell Ola;AUTORE
9354;Jandelli;Cristina;AUTORE
9384;Ghigi;Giuseppe;"AUTORE;CURATORE"
9393;Franco;Cristiana;CURATORE
9404;Denis Curti;;"AUTORE;CURATORE"
9421;Gorbacëv;Michail;AUTORE
9448;Antonini;Luca;AUTORE
9549;Bassolino;Antonio;AUTORE
9566;Barone;Caterina;CURATORE
9677;Yeats;William Butler;AUTORE
9714;Bruck;Edith;AUTORE
9719;Monteleone;Franco;"AUTORE;CURATORE"
9738;Caon;Fabio;AUTORE
9860;Scali;Alessandra;TRADUTTORE
9946;Corrado Augias;;PREFATORE
9954;Melchiorre;Matteo;AUTORE
10010;De Carolis;Chetro;TRADUTTORE
10021;Rusconi;Anna;TRADUTTORE
10042;Marchianò;Grazie;CURATORE
10114;Forlani;Stefania;TRADUTTORE
10115;Schulman;Ninni;AUTORE
10133;Luca Zaia;;AUTORE
10137;Sveen;Gard;AUTORE
10155;Carabba;Carlo;AUTORE
10169;Pillon;Giulia;TRADUTTORE
10189;Murgia;Michela;AUTORE
10190;Giammei;Alessandro;";CURATORE"
10215;Maldini;Sergio;AUTORE
10229;Florenskij;Pavel A.;AUTORE
10248;Ferrara;Giuliano;"AUTORE;INTRODUZIONE;PREFAZIONE"
10256;Cossu;Giulio;AUTORE
10305;Strauss;Leo;AUTORE
10442;Villiers de l'Isle-Adam;Philippe Auguste;AUTORE
10466;Akutagawa;Ryunosuke;AUTORE
10607;Scarpi;Paolo;CURATORE
10673;Marlowe;Christopher;AUTORE
10832;Doyle;Arthur Conan;AUTORE
10845;Pestelli;Giorgio;"AUTORE;PREFATORE"
10917;Bernardi;Sandro;"AUTORE;CURATORE"
11402;Purini;Franco;"AUTORE;PREFAZIONE"
11503;Minuzzi;Sabrina;CURATORE
11542;Campi;Alessandro;"AUTORE;CURATORE"
11874;De Gaetano;Roberto;AUTORE
11913;Pantzar;Katja;AUTORE
11922;Grandi;Daniela;AUTORE
11938;Axe;Josh;AUTORE
11939;Vitale;Paola;TRADUTTORE
11954;Woodiwiss;Kathleen E.;AUTORE
12097;Navarro;Joe;AUTORE
12132;Vori;Raffaella;TRADUTTORE
12133;Maioli;Maura;TRADUTTORE
12233;Goodwin;Daisy;AUTORE
12234;Di Luzio;Alessandra;TRADUTTORE
12269;Jónsdóttir;Sólveig;AUTORE
12277;Jaubert;Elodie-Joy;AUTORE
12293;Serafini Prosperi;Giorgio;AUTORE
12315;Ypi;Lea;AUTORE
12316;Parrella;Valeria;"AUTORE;PREFATORE"
12318;Azzolini;Luca;AUTORE
12356;Augias;Corrado;AUTORE
