id;isbn13;titolo;sottotitolo;collana_id;collana;in_libreria;in_magazzino;tipo;redazione;marchio_editoriale;autori;curatori;prefatori;traduttori;illustratori;cedola;data_cedola;modifica
107198;9788807091650;Seneca tra gli zombie;Guida filosofica di sopravvivenza al caos;817;Urra Feltrinelli;2022-04-07;2022-03-28;major;GGF;FELTRINELLI;19258;;;;;apr-22;2022-01-01;2022-03-14 16:16:20.965758+01
107199;9788858039656;Instant architettura;Dall'antichità alle archistar, per capire davvero e in modo semplice il passato, il presente e il futuro del mondo che ci circonda;404;Straordinariamente;2022-05-12;2022-05-02;major;Gribaudo;GRIBAUDO;19259;;;;;Gennaio-febbraio-marzo 2022;2022-01-01;2022-03-11 15:20:00.683173+01
107372;9788850336081;Il Giovane Imprenditore;Entrare nel mondo degli affari ai tempi della scuola;1096;Saggi;;;major;Apogeo;APOGEO;"19348;19349";;;;;apr-22;2022-04-01;2022-03-13 18:41:31.321873+01
107486;9788883063596;Il lago.;Viaggio nei Balcani in pace e in guerra;1079;Mediterranea;2022-05-26;2022-05-16;major;Apogeo;CROCETTI;19309;;;19412;;Maggio-Giugno-Luglio 2022;2022-05-01;2022-03-14 09:46:20.458143+01
107524;9788807896354;Il dolce domani;;97;Universale Economica;2022-04-07;2022-03-28;economica;GGF;FELTRINELLI;265057;;;1001103;;apr-22;2022-01-01;2022-03-14 16:16:20.670111+01
107527;9788807896361;Io e Mr Wilder;;97;Universale Economica;2022-04-21;2022-04-08;economica;GGF;FELTRINELLI;207085;;;156262;;apr-22;2022-01-01;2022-03-14 16:16:20.657188+01
107532;9788807493195;Un amore partigiano;;84;Varia;2022-04-21;2022-04-08;major;GGF;FELTRINELLI;"19313;5746";;;;;apr-22;2022-01-01;2022-03-14 16:16:20.991656+01
107534;9788807923715;Tutta colpa della coda;;723;Feltrinelli Kids;2022-05-12;2022-05-02;major;GGF;FELTRINELLI;19314;;;;19314;apr-22;2022-01-01;2022-03-16 09:21:52.008203+01
107538;9788807923685;Non ci sto!;I bambini contro l'illegalità;723;Feltrinelli Kids;2022-05-12;2022-05-02;major;GGF;FELTRINELLI;19315;;;;;apr-22;2022-01-01;2022-03-16 09:17:40.354773+01
107556;9788807896347;Diavoli custodi;;97;Universale Economica;2022-04-21;2022-04-08;economica;GGF;FELTRINELLI;"157349;6102";;;;6102;apr-22;2022-01-01;2022-03-16 10:31:37.12665+01
107560;9788807896385;Come il mare in un bicchiere;;97;Universale Economica;2022-04-21;2022-04-08;economica;GGF;FELTRINELLI;4948;;;;;apr-22;2022-01-01;2022-03-14 16:16:20.644725+01
107562;9788807904127;La casa in collina;;109;Universale Economica I Classici;2022-04-21;2022-04-08;economica;GGF;FELTRINELLI;7100;;19316;;;apr-22;2022-01-01;2022-03-16 10:34:35.730639+01
107564;9788807904158;America;;784;Universale Economica I Classici Ristampa in prenotazione;2022-04-21;2022-04-08;economica;GGF;FELTRINELLI;201391;;;"271397;271398;271396";;apr-22;2022-01-01;2022-03-16 10:29:12.281909+01
107567;9788883063602;Anabasi;;1058;Poesia;;;major;Apogeo;CROCETTI;19317;;;19413;;Maggio-Giugno-Luglio 2022;2022-05-01;2022-03-13 18:41:31.289151+01
107568;9788807904165;Misura per misura;Testo originale a fronte;784;Universale Economica I Classici Ristampa in prenotazione;2022-04-28;2022-04-14;economica;GGF;FELTRINELLI;221379;159918;;159918;;apr-22;2022-01-01;2022-03-14 16:16:20.785437+01
107581;9788883063169;Vento nelle mani degli uomini;;1058;Poesia;2022-04-21;2022-04-08;major;Apogeo;CROCETTI;19320;;;;;apr-22;2022-04-01;2022-03-16 12:00:12.721627+01
107583;9788883063510;Amore mio infinito;;1079;Mediterranea;2022-04-21;2022-04-08;major;Apogeo;CROCETTI;11454;;;;;apr-22;2022-04-01;2022-03-15 12:50:17.252799+01
107586;9788858039946;Scienziati;Alla scoperta delle menti che hanno cambiato il mondo;613;Enciclopedie per ragazzi;2022-03-17;2022-03-07;major;Gribaudo;GRIBAUDO;;;;;;apr-22;2021-10-19;2022-03-11 11:42:02.033486+01
107589;9788807896279;L'amico ritrovato;;941;Universale Economica Ragazzi;2022-04-07;2022-03-28;economica;GGF;FELTRINELLI;261672;;;156262;12407;apr-22;2022-01-01;2022-03-14 16:16:20.876299+01
107601;9788850336074;XML per tutti;Imparare il linguaggio di marcatura per la gestione dei dati;16;Guida completa;2022-03-17;2022-03-07;major;Apogeo;APOGEO;1408;;;;;apr-22;2022-04-01;2022-03-14 18:15:07.443239+01
107632;9788858040133;Il principe e il povero;;749;Vola la pagina;2022-04-07;2022-03-28;major;Gribaudo;GRIBAUDO;261563;;;;;apr-22;2021-10-19;2022-03-10 15:11:24.103205+01
107643;9788858040027;Alza la testa;La Resistenza narrata ai bambini;904;Albi illustrati;2022-04-07;2022-03-28;major;Gribaudo;GRIBAUDO;499972;;;;19366;apr-22;2021-10-19;2022-03-10 14:45:52.27174+01
107646;9788858040089;Le sei storie delle emozioni;;836;Facile!;2022-03-17;2022-03-07;major;Gribaudo;GRIBAUDO;2191;;;;2190;apr-22;2021-10-19;2022-03-10 12:09:28.315935+01
107650;9788858040072;Le sei storie scacciapaura;;836;Facile!;2022-03-17;2022-03-07;major;Gribaudo;GRIBAUDO;5635;;;;19358;apr-22;2021-10-19;2022-03-10 12:25:50.362234+01
107654;9788858040249;Cucina essenziale, semplice e consapevole;The bluebird kitchen;703;Sapori e fantasia;2022-04-28;2022-04-14;major;Gribaudo;GRIBAUDO;19328;;;;;apr-22;2021-10-19;2022-03-15 12:29:48.290604+01
107656;9788858040119;Gerard English Club;Il pronto soccorso per parlare inglese in ogni situazione, fin da subito;404;Straordinariamente;2022-05-12;2022-05-02;major;Gribaudo;GRIBAUDO;19329;;;;;apr-22;2021-10-19;2022-03-11 15:20:48.151032+01
107673;9788807923692;In volo con mamma;;723;Feltrinelli Kids;2022-05-12;2022-05-02;major;GGF;FELTRINELLI;5870;;;;19448;apr-22;2022-01-01;2022-03-16 09:20:52.451645+01
107674;9788807923661;L'estate dei ribelli;Una storia della Resistenza;723;Feltrinelli Kids;2022-04-21;2022-04-08;major;GGF;FELTRINELLI;19333;;;;12386;apr-22;2022-01-01;2022-03-14 16:16:20.506435+01
107744;9788850336111;Marketing e PR;Le nuove regole per raggiungere il pubblico e comunicare con le persone;16;Guida completa;;;major;Apogeo;APOGEO;19347;;;;;apr-22;2022-04-01;2022-03-13 18:41:31.269406+01
107829;9788807904172;Orestea;Agamennone - Coefore - Eumenidi;109;Universale Economica I Classici;2022-06-14;2022-06-01;economica;GGF;FELTRINELLI;216237;3226;;3226;;Maggio-Giugno-Luglio 2022;2022-05-01;2022-03-15 16:59:20.20218+01
107836;9788807174155;Aprite gli occhi;La mia lotta per dare una voce alla crisi climatica;74;Serie Bianca;2022-05-12;2022-05-02;major;GGF;FELTRINELLI;19368;;;19052;;Maggio-Giugno-Luglio 2022;2022-05-01;2022-03-15 10:56:37.87045+01
107838;9788807923746;Storie fantastiche delle vacanze;;723;Feltrinelli Kids;2022-05-26;2022-05-16;economica;GGF;FELTRINELLI;201391;;;154360;19496;Maggio-Giugno-Luglio 2022;2022-05-01;2022-03-13 17:21:40.807603+01
107839;9788807896484;Come vivo ora;;941;Universale Economica Ragazzi;2022-05-26;2022-05-16;economica;GGF;FELTRINELLI;1000468;;;1000469;;Maggio-Giugno-Luglio 2022;2022-05-01;2022-03-13 17:27:18.872647+01
107843;9788807896477;Pappagalli verdi;Cronache di un chirurgo di guerra;941;Universale Economica Ragazzi;;;economica;GGF;FELTRINELLI;258789;;;;;Maggio-Giugno-Luglio 2022;2022-05-01;2022-03-13 19:02:41.980329+01
